metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,random_r,random,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
any_birth,random_r,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462379
final_population,random_r,random,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
births,random_r,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462379
deaths,random_r,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462409
resources_consumed_count,random_r,random,100,0.12,0.0,0.8075402232218604,-0.03827788375148464,0.27827788375148466,0.14859940910588137,4,95,1,0.03746527674423081
total_energy_final,random_r,random,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
mean_population,random_r,random,100,0.00207,0.0,0.01381790304078171,-0.0006383089959932156,0.004778308995993215,0.14980565386011677,4,94,2,0.03782015700279767
mean_energy,random_r,random,100,-0.9257494257744117,0.0,4.570369033620536,-1.8215417563640366,-0.02995709518478673,-0.20255463376467334,0,94,6,-0.17283293854935963
action_entropy,random_r,random,100,2.554080208315046e-05,0.0,0.00018791808449081097,-1.1291142477048491e-05,6.237274664334941e-05,0.13591455102555275,4,94,2,0.007217807659316421
time_to_extinction,random_r,random,100,-2.23,0.0,11.714495035612671,-4.526041026980083,0.06604102698008374,-0.19036245209210337,0,94,6,-0.0850158591686195
time_to_extinction_censored,random_r,random,100,-2.23,0.0,11.714495035612671,-4.526041026980083,0.06604102698008374,-0.19036245209210337,0,94,6,-0.0850158591686195
max_generation,random_r,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462379
founders_reproducing_count,random_r,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462379
survived,reactive_r,random,100,0.95,1.0,0.2190429135575903,0.9070675889427122,0.9929324110572877,4.337049688440287,95,5,0,6.133514490078261
any_birth,reactive_r,random,100,0.99,1.0,0.1,0.9704,1.0096,9.899999999999999,99,1,0,14.000714267493638
final_population,reactive_r,random,100,8.48,9.0,3.641733408999377,7.766220251836122,9.193779748163879,2.3285614424835157,95,5,0,3.293083172779246
births,reactive_r,random,100,38.36,37.5,14.828664569990547,35.453581744281855,41.26641825571814,2.586881631784355,99,1,0,3.6584030879232783
deaths,reactive_r,random,100,29.88,29.5,12.084951824730647,27.511349442352792,32.2486505576472,2.472496409861855,99,1,0,3.4966379557454226
resources_consumed_count,reactive_r,random,100,519.86,528.5,149.02640400583076,490.6508248148572,549.0691751851429,3.4883751202884836,100,0,0,4.9315501342334365
total_energy_final,reactive_r,random,100,602.22,631.5,258.7021445523009,551.514379667749,652.925620332251,2.3278508225827688,95,5,0,3.292078204477917
