metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_evolution,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
births,llm_evolution,random,1,3.0,3.0,0.0,3.0,3.0,0.0,1,0,0,nan
deaths,llm_evolution,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_evolution,random,1,19.0,19.0,0.0,19.0,19.0,0.0,1,0,0,nan
total_energy_final,llm_evolution,random,1,508.0,508.0,0.0,508.0,508.0,0.0,1,0,0,nan
mean_population,llm_evolution,random,1,1.6400000000000006,1.6400000000000006,0.0,1.6400000000000006,1.6400000000000006,0.0,1,0,0,nan
mean_energy,llm_evolution,random,1,18.144391608391608,18.144391608391608,0.0,18.144391608391608,18.144391608391608,0.0,1,0,0,nan
action_entropy,llm_evolution,random,1,-0.7426840126581593,-0.7426840126581593,0.0,-0.7426840126581593,-0.7426840126581593,0.0,0,0,1,nan
invalid_action_rate,llm_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
founders_reproducing_count,llm_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
survived,llm_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_evolution,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
births,llm_evolution,reactive,1,3.0,3.0,0.0,3.0,3.0,0.0,1,0,0,nan
deaths,llm_evolution,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_evolution,reactive,1,-2.0,-2.0,0.0,-2.0,-2.0,0.0,0,0,1,nan
total_energy_final,llm_evolution,reactive,1,-111.0,-111.0,0.0,-111.0,-111.0,0.0,0,0,1,nan
mean_population,llm_evolution,reactive,1,1.6400000000000006,1.6400000000000006,0.0,1.6400000000000006,1.6400000000000006,0.0,1,0,0,nan
mean_energy,llm_evolution,reactive,1,-14.339608391608394,-14.339608391608394,0.0,-14.339608391608394,-14.339608391608394,0.0,0,0,1,nan
action_entropy,llm_evolution,reactive,1,-0.7216791635074353,-0.7216791635074353,0.0,-0.7216791635074353,-0.7216791635074353,0.0,0,0,1,nan
invalid_action_rate,llm_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
founders_reproducing_count,llm_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
