seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,llm_b,200.0,0.0,0.0,10.0,2.0,0.0,5.01,44.38416666666667,0.3456668861968149,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/llm_b_seed1_20260816T162038Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/metrics.csv
1,random,200.0,0.0,0.0,10.0,6.0,0.0,3.245,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/random_seed1_20260816T162038Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/metrics.csv
1,reactive,200.0,3.0,0.0,7.0,60.0,561.0,6.095,122.8449246031746,2.3156266639389345,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/reactive_seed1_20260816T162038Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_1/metrics.csv
2,llm_b,200.0,0.0,0.0,10.0,1.0,0.0,5.06,43.89805336832896,0.0723717518517953,128.0,128.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/llm_b_seed2_20260816T162558Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/metrics.csv
2,random,200.0,0.0,0.0,10.0,12.0,0.0,3.74,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/random_seed2_20260816T162557Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/metrics.csv
2,reactive,200.0,5.0,0.0,5.0,83.0,824.0,7.245,113.64702380952382,2.311648732751454,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/reactive_seed2_20260816T162557Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_2/metrics.csv
3,llm_b,200.0,0.0,0.0,10.0,1.0,0.0,4.91,46.7176014957265,0.2907441256399312,105.0,105.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/llm_b_seed3_20260816T163119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/metrics.csv
3,random,200.0,0.0,0.0,10.0,8.0,0.0,3.41,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/random_seed3_20260816T163119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/metrics.csv
3,reactive,200.0,8.0,0.0,2.0,118.0,1244.0,9.03,126.77281944444445,2.312148426069607,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/reactive_seed3_20260816T163119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_3/metrics.csv
4,llm_b,200.0,0.0,0.0,10.0,2.0,0.0,5.15,44.301117589893096,0.15904473905134284,148.0,148.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_4/llm_b_seed4_20260816T163633Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen25_7b_20x200/seed_4/metrics.csv
