metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm_evolution_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_evolution_memory,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_evolution_memory,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
births,llm_evolution_memory,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
deaths,llm_evolution_memory,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_evolution_memory,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,llm_evolution_memory,random,1,445.0,445.0,0.0,445.0,445.0,0.0,1,0,0,nan
mean_population,llm_evolution_memory,random,1,1.2200000000000006,1.2200000000000006,0.0,1.2200000000000006,1.2200000000000006,0.0,1,0,0,nan
mean_energy,llm_evolution_memory,random,1,17.34796969696969,17.34796969696969,0.0,17.34796969696969,17.34796969696969,0.0,1,0,0,nan
action_entropy,llm_evolution_memory,random,1,-1.1148933293922403,-1.1148933293922403,0.0,-1.1148933293922403,-1.1148933293922403,0.0,0,0,1,nan
invalid_action_rate,llm_evolution_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_evolution_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_evolution_memory,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
founders_reproducing_count,llm_evolution_memory,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
survived,llm_evolution_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_evolution_memory,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_evolution_memory,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
births,llm_evolution_memory,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
deaths,llm_evolution_memory,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_evolution_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
total_energy_final,llm_evolution_memory,reactive,1,-174.0,-174.0,0.0,-174.0,-174.0,0.0,0,0,1,nan
mean_population,llm_evolution_memory,reactive,1,1.2200000000000006,1.2200000000000006,0.0,1.2200000000000006,1.2200000000000006,0.0,1,0,0,nan
mean_energy,llm_evolution_memory,reactive,1,-15.13603030303031,-15.13603030303031,0.0,-15.13603030303031,-15.13603030303031,0.0,0,0,1,nan
action_entropy,llm_evolution_memory,reactive,1,-1.0938884802415163,-1.0938884802415163,0.0,-1.0938884802415163,-1.0938884802415163,0.0,0,0,1,nan
invalid_action_rate,llm_evolution_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_evolution_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_evolution_memory,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
founders_reproducing_count,llm_evolution_memory,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
