controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
random,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
random,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,resources_consumed_count,1,1,4.0,4.0,0.0,4.0,4.0,4.0,4.0
random,total_energy_final,1,1,218.0,218.0,0.0,218.0,218.0,218.0,218.0
random,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,mean_energy,1,1,62.461999999999996,62.461999999999996,0.0,62.461999999999996,62.461999999999996,62.461999999999996,62.461999999999996
random,action_entropy,1,1,2.3192854229939353,2.3192854229939353,0.0,2.3192854229939353,2.3192854229939353,2.3192854229939353,2.3192854229939353
random,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
random,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
random,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
random,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reactive,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,resources_consumed_count,1,1,25.0,25.0,0.0,25.0,25.0,25.0,25.0
reactive,total_energy_final,1,1,837.0,837.0,0.0,837.0,837.0,837.0,837.0
reactive,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,mean_energy,1,1,94.946,94.946,0.0,94.946,94.946,94.946,94.946
reactive,action_entropy,1,1,2.2982805738432113,2.2982805738432113,0.0,2.2982805738432113,2.2982805738432113,2.2982805738432113,2.2982805738432113
reactive,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
reactive,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_memory,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_memory,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_memory,final_population,1,1,9.0,9.0,0.0,9.0,9.0,9.0,9.0
llm_memory,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_memory,deaths,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_memory,resources_consumed_count,1,1,16.0,16.0,0.0,16.0,16.0,16.0,16.0
llm_memory,total_energy_final,1,1,625.0,625.0,0.0,625.0,625.0,625.0,625.0
llm_memory,mean_population,1,1,9.98,9.98,0.0,9.98,9.98,9.98,9.98
llm_memory,mean_energy,1,1,87.52088888888889,87.52088888888889,0.0,87.52088888888889,87.52088888888889,87.52088888888889,87.52088888888889
llm_memory,action_entropy,1,1,1.4307783064222677,1.4307783064222677,0.0,1.4307783064222677,1.4307783064222677,1.4307783064222677,1.4307783064222677
llm_memory,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_memory,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
llm_memory,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
llm_memory,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
llm_memory,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_memory,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
