metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm_memory,random,1,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0,0,1,nan
births,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm_memory,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_memory,random,1,12.0,12.0,0.0,12.0,12.0,0.0,1,0,0,nan
total_energy_final,llm_memory,random,1,407.0,407.0,0.0,407.0,407.0,0.0,1,0,0,nan
mean_population,llm_memory,random,1,-0.019999999999999574,-0.019999999999999574,0.0,-0.019999999999999574,-0.019999999999999574,0.0,0,0,1,nan
mean_energy,llm_memory,random,1,25.058888888888895,25.058888888888895,0.0,25.058888888888895,25.058888888888895,0.0,1,0,0,nan
action_entropy,llm_memory,random,1,-0.8885071165716676,-0.8885071165716676,0.0,-0.8885071165716676,-0.8885071165716676,0.0,0,0,1,nan
invalid_action_rate,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm_memory,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm_memory,reactive,1,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0,0,1,nan
births,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm_memory,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
resources_consumed_count,llm_memory,reactive,1,-9.0,-9.0,0.0,-9.0,-9.0,0.0,0,0,1,nan
total_energy_final,llm_memory,reactive,1,-212.0,-212.0,0.0,-212.0,-212.0,0.0,0,0,1,nan
mean_population,llm_memory,reactive,1,-0.019999999999999574,-0.019999999999999574,0.0,-0.019999999999999574,-0.019999999999999574,0.0,0,0,1,nan
mean_energy,llm_memory,reactive,1,-7.425111111111107,-7.425111111111107,0.0,-7.425111111111107,-7.425111111111107,0.0,0,0,1,nan
action_entropy,llm_memory,reactive,1,-0.8675022674209436,-0.8675022674209436,0.0,-0.8675022674209436,-0.8675022674209436,0.0,0,0,1,nan
invalid_action_rate,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm_memory,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
