seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,llm,200.0,0.0,0.0,10.0,1.0,0.0,4.86,43.109702380952385,0.3311883228117483,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/llm_seed1_20260816T115005Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/metrics.csv
1,random,200.0,0.0,0.0,10.0,6.0,0.0,3.245,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/random_seed1_20260816T115005Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/metrics.csv
1,reactive,200.0,3.0,0.0,7.0,60.0,561.0,6.095,122.8449246031746,2.3156266639389345,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/reactive_seed1_20260816T115005Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_1/metrics.csv
2,llm,200.0,0.0,0.0,10.0,2.0,0.0,4.795,41.70067544748396,0.5705676241130737,142.0,142.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/llm_seed2_20260816T115516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/metrics.csv
2,random,200.0,0.0,0.0,10.0,12.0,0.0,3.74,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/random_seed2_20260816T115516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/metrics.csv
2,reactive,200.0,5.0,0.0,5.0,83.0,824.0,7.245,113.64702380952382,2.311648732751454,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/reactive_seed2_20260816T115516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_2/metrics.csv
3,llm,200.0,0.0,0.0,10.0,2.0,0.0,4.56,40.73763440860215,0.7552950035017574,125.0,125.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/llm_seed3_20260816T120023Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/metrics.csv
3,random,200.0,0.0,0.0,10.0,8.0,0.0,3.41,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/random_seed3_20260816T120023Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/metrics.csv
3,reactive,200.0,8.0,0.0,2.0,118.0,1244.0,9.03,126.77281944444445,2.312148426069607,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/reactive_seed3_20260816T120023Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_3/metrics.csv
4,llm,200.0,0.0,0.0,10.0,2.0,0.0,5.15,44.334974994564035,0.1608717914839295,147.0,147.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/llm_seed4_20260816T120516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/metrics.csv
4,random,200.0,0.0,0.0,10.0,5.0,0.0,3.175,45.69126543209876,2.3201569493621834,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/random_seed4_20260816T120516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/metrics.csv
4,reactive,200.0,4.0,0.0,6.0,69.0,613.0,6.725,110.04857142857144,2.317875777479299,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/reactive_seed4_20260816T120516Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_4/metrics.csv
5,llm,200.0,0.0,0.0,10.0,2.0,0.0,5.11,44.09071180555556,0.2058220528561457,129.0,129.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/llm_seed5_20260816T121042Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/metrics.csv
5,random,200.0,0.0,0.0,10.0,7.0,0.0,3.28,49.252272727272725,2.315907250257317,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/random_seed5_20260816T121041Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/metrics.csv
5,reactive,200.0,5.0,0.0,5.0,92.0,1050.0,7.345,139.20092261904762,2.31277501597046,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/reactive_seed5_20260816T121041Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_5/metrics.csv
6,llm,200.0,0.0,0.0,10.0,1.0,0.0,5.02,43.66989795918367,0.12561197424654313,127.0,127.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/llm_seed6_20260816T121607Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/metrics.csv
6,random,200.0,0.0,0.0,10.0,10.0,0.0,3.59,42.47746950019677,2.320468922526322,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/random_seed6_20260816T121607Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/metrics.csv
6,reactive,200.0,5.0,0.0,5.0,86.0,1177.0,6.52,163.36791071428573,2.3123936087084456,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/reactive_seed6_20260816T121607Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_6/metrics.csv
7,llm,200.0,0.0,0.0,10.0,0.0,0.0,4.46,43.87525773195876,0.5723015541297987,98.0,98.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_7/llm_seed7_20260816T122126Z,/home/sun/dev/emergence_lab/experiments/results/c3a_qwen25_7b_20x200/seed_7/metrics.csv
