seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.778,43.56026936026936,1.3252748110769206,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_1/evolutionary_seed1_20260815T175808Z,experiments/results/ablation_c1r_100x1000/seed_1/metrics.csv
1,reactive,1000.0,3.0,0.0,7.0,249.0,1826.0,3.619,361.36265158730157,2.315424984507735,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_1/reactive_seed1_20260815T175808Z,experiments/results/ablation_c1r_100x1000/seed_1/metrics.csv
1,reactive_r,1000.0,9.0,30.0,31.0,497.0,614.0,8.418,76.53809880952382,2.317140056877105,,1000.0,32.0,10.0,6.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_1/reactive_r_seed1_20260815T175808Z,experiments/results/ablation_c1r_100x1000/seed_1/metrics.csv
2,evolutionary,1000.0,0.0,0.0,10.0,3.0,0.0,0.844,41.940718005952384,1.2974492515443976,129.0,129.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_2/evolutionary_seed2_20260815T175809Z,experiments/results/ablation_c1r_100x1000/seed_2/metrics.csv
2,reactive,1000.0,3.0,0.0,7.0,287.0,1749.0,4.283,327.99193809523814,2.3139377116247806,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_2/reactive_seed2_20260815T175809Z,experiments/results/ablation_c1r_100x1000/seed_2/metrics.csv
2,reactive_r,1000.0,7.0,27.0,30.0,475.0,651.0,8.021,73.6929327922078,2.3149378730880885,,1000.0,17.0,4.0,4.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_2/reactive_r_seed2_20260815T175809Z,experiments/results/ablation_c1r_100x1000/seed_2/metrics.csv
3,evolutionary,1000.0,7.0,23.0,26.0,337.0,406.0,5.653,78.8839273088023,1.212028501837327,,1000.0,47.0,6.0,1.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_3/evolutionary_seed3_20260815T175810Z,experiments/results/ablation_c1r_100x1000/seed_3/metrics.csv
3,reactive,1000.0,4.0,0.0,6.0,371.0,1202.0,5.961,229.94499126984127,2.314779815357286,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_3/reactive_seed3_20260815T175810Z,experiments/results/ablation_c1r_100x1000/seed_3/metrics.csv
3,reactive_r,1000.0,5.0,20.0,25.0,352.0,389.0,6.129,78.42438665223666,2.314704602117334,,1000.0,4.0,6.0,5.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_3/reactive_r_seed3_20260815T175810Z,experiments/results/ablation_c1r_100x1000/seed_3/metrics.csv
4,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.655,38.76632996632997,1.7605961521998585,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_4/evolutionary_seed4_20260815T175811Z,experiments/results/ablation_c1r_100x1000/seed_4/metrics.csv
4,reactive,1000.0,2.0,0.0,8.0,223.0,590.0,3.876,196.5119642857143,2.316151230117718,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_4/reactive_seed4_20260815T175811Z,experiments/results/ablation_c1r_100x1000/seed_4/metrics.csv
4,reactive_r,1000.0,5.0,20.0,25.0,398.0,394.0,6.87,73.09463726551226,2.3142311729952736,,1000.0,23.0,4.0,3.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_4/reactive_r_seed4_20260815T175811Z,experiments/results/ablation_c1r_100x1000/seed_4/metrics.csv
5,evolutionary,1000.0,0.0,1.0,11.0,11.0,0.0,0.656,42.14700193423598,1.6061598544679945,95.0,95.0,33.0,1.0,1.0,0.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_5/evolutionary_seed5_20260815T175812Z,experiments/results/ablation_c1r_100x1000/seed_5/metrics.csv
5,reactive,1000.0,3.0,0.0,7.0,311.0,2493.0,4.273,502.24558452380955,2.316452468060159,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_5/reactive_seed5_20260815T175812Z,experiments/results/ablation_c1r_100x1000/seed_5/metrics.csv
5,reactive_r,1000.0,10.0,38.0,38.0,566.0,659.0,9.551,71.21480255300254,2.3147857760537263,,1000.0,3.0,11.0,4.0,1.0,1.0,0.0,experiments/results/ablation_c1r_100x1000/seed_5/reactive_r_seed5_20260815T175812Z,experiments/results/ablation_c1r_100x1000/seed_5/metrics.csv
6,evolutionary,1000.0,0.0,0.0,10.0,10.0,0.0,0.752,34.71,2.078862162669311,201.0,201.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_6/evolutionary_seed6_20260815T175813Z,experiments/results/ablation_c1r_100x1000/seed_6/metrics.csv
6,reactive,1000.0,4.0,0.0,6.0,326.0,2056.0,4.752,339.0929821428572,2.3136863949602557,,1000.0,,0.0,0.0,1.0,0.0,0.0,experiments/results/ablation_c1r_100x1000/seed_6/reactive_seed6_20260815T175812Z,experiments/results/ablation_c1r_100x1000/seed_6/metrics.csv
