controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
random,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
random,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,resources_consumed_count,1,1,4.0,4.0,0.0,4.0,4.0,4.0,4.0
random,total_energy_final,1,1,218.0,218.0,0.0,218.0,218.0,218.0,218.0
random,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,mean_energy,1,1,62.461999999999996,62.461999999999996,0.0,62.461999999999996,62.461999999999996,62.461999999999996,62.461999999999996
random,action_entropy,1,1,2.3192854229939353,2.3192854229939353,0.0,2.3192854229939353,2.3192854229939353,2.3192854229939353,2.3192854229939353
random,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
random,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
random,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
random,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reactive,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,resources_consumed_count,1,1,25.0,25.0,0.0,25.0,25.0,25.0,25.0
reactive,total_energy_final,1,1,837.0,837.0,0.0,837.0,837.0,837.0,837.0
reactive,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,mean_energy,1,1,94.946,94.946,0.0,94.946,94.946,94.946,94.946
reactive,action_entropy,1,1,2.2982805738432113,2.2982805738432113,0.0,2.2982805738432113,2.2982805738432113,2.2982805738432113,2.2982805738432113
reactive,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
reactive,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
llm,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,resources_consumed_count,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm,total_energy_final,1,1,496.0,496.0,0.0,496.0,496.0,496.0,496.0
llm,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
llm,mean_energy,1,1,74.046,74.046,0.0,74.046,74.046,74.046,74.046
llm,action_entropy,1,1,0.4206369635921546,0.4206369635921546,0.0,0.4206369635921546,0.4206369635921546,0.4206369635921546,0.4206369635921546
llm,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
llm,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
llm,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
llm,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
