metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,llm,random,1,-3.0,-3.0,0.0,-3.0,-3.0,0.0,0,0,1,nan
total_energy_final,llm,random,1,278.0,278.0,0.0,278.0,278.0,0.0,1,0,0,nan
mean_population,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,llm,random,1,11.58400000000001,11.58400000000001,0.0,11.58400000000001,11.58400000000001,0.0,1,0,0,nan
action_entropy,llm,random,1,-1.8986484594017807,-1.8986484594017807,0.0,-1.8986484594017807,-1.8986484594017807,0.0,0,0,1,nan
invalid_action_rate,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,llm,reactive,1,-24.0,-24.0,0.0,-24.0,-24.0,0.0,0,0,1,nan
total_energy_final,llm,reactive,1,-341.0,-341.0,0.0,-341.0,-341.0,0.0,0,0,1,nan
mean_population,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,llm,reactive,1,-20.89999999999999,-20.89999999999999,0.0,-20.89999999999999,-20.89999999999999,0.0,0,0,1,nan
action_entropy,llm,reactive,1,-1.8776436102510567,-1.8776436102510567,0.0,-1.8776436102510567,-1.8776436102510567,0.0,0,0,1,nan
invalid_action_rate,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
