seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
94,evolutionary_oracle,1000.0,1.0,0.0,9.0,97.0,197.0,2.04,366.1023912698413,2.3196009150294445,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_94/evolutionary_oracle_seed94_20260816T111706Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_94/metrics.csv
94,reactive,1000.0,4.0,0.0,6.0,356.0,2606.0,4.962,413.5289146825397,2.3131375574295343,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_94/reactive_seed94_20260816T111705Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_94/metrics.csv
95,evolutionary,1000.0,0.0,1.0,11.0,13.0,0.0,0.917,43.38621199892386,1.8962434000317339,178.0,178.0,60.0,1.0,1.0,0.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/evolutionary_seed95_20260816T111706Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/metrics.csv
95,evolutionary_oracle,1000.0,0.0,0.0,10.0,120.0,0.0,2.537,91.23372503472935,2.3207414619902753,698.0,698.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/evolutionary_oracle_seed95_20260816T111706Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/metrics.csv
95,reactive,1000.0,1.0,0.0,9.0,187.0,805.0,3.158,344.839844047619,2.315768616726524,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/reactive_seed95_20260816T111706Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_95/metrics.csv
96,evolutionary,1000.0,0.0,0.0,10.0,5.0,0.0,0.727,48.458653846153844,1.9327356391273527,157.0,157.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/evolutionary_seed96_20260816T111707Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/metrics.csv
96,evolutionary_oracle,1000.0,0.0,0.0,10.0,49.0,0.0,1.359,103.03383413971649,2.3185907730114086,562.0,562.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/evolutionary_oracle_seed96_20260816T111707Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/metrics.csv
96,reactive,1000.0,3.0,0.0,7.0,279.0,1280.0,4.394,369.83702500000004,2.3124986902259668,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/reactive_seed96_20260816T111706Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_96/metrics.csv
97,evolutionary,1000.0,0.0,1.0,11.0,5.0,0.0,0.833,42.38448554812191,1.5892275493623935,100.0,100.0,1.0,1.0,1.0,0.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/evolutionary_seed97_20260816T111707Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/metrics.csv
97,evolutionary_oracle,1000.0,0.0,0.0,10.0,97.0,0.0,2.156,177.24058158898794,2.32087964480071,754.0,754.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/evolutionary_oracle_seed97_20260816T111707Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/metrics.csv
97,reactive,1000.0,3.0,0.0,7.0,365.0,2074.0,5.396,323.33393690476186,2.3139467924088395,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/reactive_seed97_20260816T111707Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_97/metrics.csv
98,evolutionary,1000.0,0.0,2.0,12.0,35.0,0.0,1.108,63.00547164475736,2.057891338922521,274.0,274.0,18.0,2.0,1.0,0.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/evolutionary_seed98_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/metrics.csv
98,evolutionary_oracle,1000.0,0.0,0.0,10.0,66.0,0.0,1.641,79.79668337510442,2.3193692976607383,286.0,286.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/evolutionary_oracle_seed98_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/metrics.csv
98,reactive,1000.0,2.0,0.0,8.0,288.0,1586.0,4.398,367.6895071428571,2.315847921952812,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/reactive_seed98_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_98/metrics.csv
99,evolutionary,1000.0,2.0,9.0,17.0,138.0,118.0,2.728,74.97207142857144,1.2240708415529697,,1000.0,224.0,3.0,1.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/evolutionary_seed99_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/metrics.csv
99,evolutionary_oracle,1000.0,0.0,0.0,10.0,46.0,0.0,1.293,76.64654572940287,2.3135919164104233,316.0,316.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/evolutionary_oracle_seed99_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/metrics.csv
99,reactive,1000.0,3.0,0.0,7.0,245.0,1068.0,3.968,215.56987023809523,2.3138737270824232,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/reactive_seed99_20260816T111708Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_99/metrics.csv
100,evolutionary,1000.0,0.0,0.0,10.0,8.0,0.0,0.718,41.26373333333333,2.0002793911304453,126.0,126.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/evolutionary_seed100_20260816T111709Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/metrics.csv
100,evolutionary_oracle,1000.0,1.0,0.0,9.0,155.0,389.0,2.891,240.49509166666667,2.3200168018031144,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/evolutionary_oracle_seed100_20260816T111709Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/metrics.csv
100,reactive,1000.0,2.0,0.0,8.0,260.0,1296.0,4.1,417.90093888888885,2.3161199848623473,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/reactive_seed100_20260816T111709Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_100/metrics.csv
