seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
5,reactive,200.0,5.0,0.0,5.0,92.0,1050.0,7.345,139.20092261904762,2.31277501597046,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/reactive_seed5_20260817T155542Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/metrics.csv
6,llm_b,200.0,5.0,0.0,5.0,91.0,460.0,8.21,90.83220833333333,0.9007215619993475,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/llm_b_seed6_20260817T162119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/metrics.csv
6,random,200.0,0.0,0.0,10.0,10.0,0.0,3.59,42.47746950019677,2.320468922526322,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/random_seed6_20260817T162119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/metrics.csv
6,reactive,200.0,5.0,0.0,5.0,86.0,1177.0,6.52,163.36791071428573,2.3123936087084456,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/reactive_seed6_20260817T162119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/metrics.csv
7,llm_b,200.0,3.0,0.0,7.0,61.0,427.0,6.035,116.1457380952381,1.1423303564085645,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/llm_b_seed7_20260817T164656Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/metrics.csv
7,random,200.0,0.0,0.0,10.0,11.0,0.0,3.67,60.97022222222222,2.320014126600119,151.0,151.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/random_seed7_20260817T164656Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/metrics.csv
7,reactive,200.0,7.0,0.0,3.0,97.0,862.0,8.25,121.16966666666667,2.306938240476641,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/reactive_seed7_20260817T164656Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_7/metrics.csv
8,llm_b,200.0,3.0,0.0,7.0,71.0,818.0,5.83,151.36729761904763,1.255972778847332,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/llm_b_seed8_20260817T170603Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/metrics.csv
8,random,200.0,0.0,0.0,10.0,6.0,0.0,3.225,42.32245407526306,2.3177374263227013,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/random_seed8_20260817T170603Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/metrics.csv
8,reactive,200.0,5.0,0.0,5.0,88.0,1089.0,6.925,138.36471428571429,2.309117126493191,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/reactive_seed8_20260817T170603Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_8/metrics.csv
